Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Lavinia Miloșovici,Romania,1976 -,Josh Ritter,American singer-songwriter an,1976 -,Andrew Scott,Iris,1976 -
Julieta Cardinali,Argentinia,1977 -,David Clayton Rogers,"American actor, producer, an",1977 -,Will Estes,America,1978 -
Henrik Klingenberg,Finnish singer and keyboard player (Sonata Arctica and Silen,1978 -,Khalil Greene,American basebal,1979 -,Gabe Gross,American basebal,1979 -
Shiho Takano,Japanes,1979 -,Kim Kardashian,"American model, actress, and fashio",1980 -,Brian Pittman,American bass player (Relient K and Inhal,1980 -
Nemanja Vidić,Serbia,1981 -,Matt Dallas,American actor an,1982 -,Jim Henderson,American basebal,1982 -
Ray Ventrone,American footbal,1982 -,Lee Chong Wei,Malaysian badminto,1982 -,James White,American basketbal,1982 -
Casey Fien,American basebal,1983 -,Zack Greinke,American basebal,1983 -,Gonzalo Klusener,Argentinia,1983 -
Chris Sherrington,English-Scottish martia,1983 -,Charlotte Sullivan,Canadia,1983 -,Ninet Tayeb,Israeli singer an,1983 -
Shelden Williams,American basketbal,1983 -,Anna Bogdanova,Russia,1984 -,Tom Brandstater,American footbal,1984 -
Anouk Leblanc-Boucher,Canadian spee,1984 -,José Lobatón,Venezuelan basebal,1984 -,Jessica Michibata,Japanes,1984 -
Kieran Richardson,Englis,1984 -,Simone Bracalello,Italia,1985 -,Almen Abdi,Swis,1986 -
Scott Rendell,Englis,1986 -,Tamerlan Tsarnaev,Russian-American terrorist,27,Christopher von Uckermann,Mexican singer-songwriter and acto,1986 -
Andrey Grechin,Russia,1987 -,Ricki Olsen,Danis,1988 -,Daniel Schorn,Austria,1988 -
Luke Murphy,Englis,1989 -,Jonathan Viera,Spanis,1989 -,Sam Vokes,English-Wels,1989 -
Mathieu Peybernes,Frenc,1990 -,Ricky Rubio,Spanish basketbal,1990 -,Tom Eastman,Englis,1991 -
Vadaine Oliver,Englis,1991 -,Harry Pell,Englis,1991 -,Bernard Tomic,Australian tenni,1992 -
Antoinette Guedia Mouafo,Cameroonia,1995 -,Shannon Magrane,America,1995 -,Ryoka Oshima,Japanese singer and actres,1998 -
Emperor Juntoku of Japan,,45,Erasmus Reinhold,German astronomer and mathematician,42,Gustav Horn,Count of Pori,65
John V of Portugal,,61,Maria Amalia of Austria,,55,Johann Reinhold Forster,German pastor and botanist,69
Cornelis van der Aa,Dutch historian and bookseller,67,Volney Howard,"American lawyer, jurist, and politician, Texas Attorney General",80,Franz Liszt,Hungarian pianist and composer,75
Collis Potter Huntington,American businessman,79,August Labitzky,Czech composer and conductor,71,Sarah Bernhardt,French actress and manager,79
Koos de la Rey,South African general,67,Augusta Victoria of Schleswig-Holstein,,63,Kristjan Raud,Estonian painter and illustrator,78
Lord Alfred Douglas,English author and poet,75,Gustaf John Ramstedt,Finnish linguist and diplomat,77,Rama Tirtha,Indian philosopher and educator,33
Jaan Lattik,"Estonian pastor and politician, 9th Estonian Minister of Foreign Affairs",89,Clinton Davisson,"American physicist and academic, Nobel Prize laureate",77,Karl Bernhard Zoeppritz,German geophysicist and seismologist,27
N. C. Wyeth,American painter and illustrator,63,Giovanni Martinelli,Italian tenor and actor,84,Erik Bergman,Swedish minister,84
Parker Fennelly,American comedian and actor,97,Ernst Öpik,Estonian astronomer and astrophysicist,92,Mei Lanfang,Chinese actor and singer,67
Charles Glen King,American biochemist and academic,92,Ashfaqulla Khan,Indian activist,27,George Wells Beadle,"American geneticist and academic, Nobel Prize laureate",86
Constance Bennett,"American actress, singer, and producer",61,Joseph Kosma,Hungarian-French pianist and composer,64,Kees van Baaren,Dutch composer and educator,64
John Gould,American journalist and author,95,Frances Drake,American actress,88,Peer Guldbrandsen,"Danish actor, director, producer, and screenwriter",84
Robert Capa,Hungarian-American photographer and journalist,41,Bảo Đại,Vietnamese emperor,84,Tamara Desni,German-French actress and singer,95
Yitzhak Shamir,"Belarusian-Israeli civil servant and politician, 7th Prime Minister of Israel",97,Joan Fontaine,Japanese-American actress and singer,96,Lou Klein,"American baseball player, coach, and manager",58
Doris Lessing,"Iranian-English author, poet, and playwright, Nobel Prize laureate",94,Timothy Leary,American psychologist and author,76,Georges Brassens,French singer-songwriter and guitarist,60
Harald Nugiseks,Estonian sergeant,93,Juan Carlos Lorenzo,Argentinian footballer and manager,79,Bert Trautmann,German footballer and manager,90
Slater Martin,American basketball player and coach,87,Robert Rauschenberg,American painter and illustrator,83,Allan Hendrickse,South African minister and politician,78
Michael Birkett,"2nd Baron Birkett, English director and producer",86,Dory Previn,American singer-songwriter and guitarist,83,Lev Yashin,Russian footballer,61
Helmut Senekowitsch,Austrian footballer and manager,74,Donald McIntyre,New Zealand oper,1934 -,Rita Sakellariou,Greek singer,65
Peter Cook,English architect an,1936 -,Jovan Pavlović,Serbian metropolitan,78,Manos Loïzos,Egyptian-Greek composer,45
Derek Jacobi,English actor an,1938 -,Christopher Lloyd,American actor an,1938 -,Timos Perlegas,Greek actor,55
George Cohen,Englis,1939 -,Jean-Pierre Desthuilliers,French poet an,1939 -,Susumu Kurobe,Japanes,1939 -
Ahmet Mete Işıkara,Turkish geophysicist and earthquake scientist,72,Charles Keating,English-American actor,73,Count Christian of Rosenborg,,71
Annette Funicello,American actress and singer,71,Allen Coage,American-Canadian wrestler and coach,64,Catherine E. Coulson,American actress,72
Catherine Deneuve,French actress an,1943 -,Seif Sharif Hamad,"Zanzibari politician, 2nd Chief Minister o",1943 -,Robert Long,Dutch singer-songwriter and actor,63
Buzz Potamkin,"American director and producer, founded Buzzco Associates",67,Sheila Sherwood,English lon,1945 -,Michael Stoute,Barbadian-English hors,1945 -
Eddie Brigati,American singer-songwriter (Th,1946 -,Claude Charron,Canadian educator an,1946 -,Deepak Chopra,Indian-American physician an,1946 -
Richard McGonagle,America,1946 -,Raymond Bachand,Canadian lawyer an,1947 -,Haley Barbour,"American lawyer and politician, 62nd Governor o",1947 -
Mike Hendrick,"English cricketer, coach, an",1948 -,Debbie Macomber,America,1948 -,Stiv Bators,"American singer-songwriter, guitarist, and actor (The Dead Boys and The Lords of the New Church)",41
Manfred Trojahn,"German flute player, composer, an",1949 -,Arsène Wenger,French footballer an,1949 -,Julie Dash,"American director, producer, an",1952 -
Greg Hawkes,American keyboard player (Th,1952 -,Graham Joyce,English author and educator,60,Frank DiPino,American baseball player an,1956 -
Gerd Nagel,German hig,1957 -,Chris Peppler,Japanese-American radi,1957 -,Arto Salminen,Finnish journalist and author,46
Darryl Jenifer,American bass player (Bad Brains and The Whit,1960 -,Cris Kirkwood,American singer-songwriter and bass player (Mea,1960 -,Shigeru Muroi,Japanes,1960 -
Robert Torti,American actor an,1961 -,Bob Odenkirk,"American actor, director, producer, an",1962 -,Brian Boitano,American figure skater an,1963 -
Mick Hill,English javelin thrower an,1964 -,Dražen Petrović,Croatian basketball player,29,John Wesley Harding,English singer-songwriter an,1965 -
Otis Smith,American football player an,1965 -,Piotr Wiwczarek,"Polish singer-songwriter, guitarist, and produce",1965 -,Yuri Arbachakov,Russian-Japanes,1966 -
Salvatore Di Vittorio,Italian composer an,1967 -,Rita Guerra,Portugues,1967 -,Oona King,"Baroness King of Bow, English academic an",1967 -
Carlos Mencia,"Honduran-American comedian, actor, producer, an",1967 -,Ron Tugnutt,"Canadian ice hockey player, coach, an",1967 -,Shaggy,Jamaican-America,1968 -
Jay Johnston,"American actor, producer, an",1968 -,Shelby Lynne,American singer-songwriter an,1968 -,Stéphane Quintal,Canadian ice hocke,1968 -
Spike Jonze,"American actor, director, producer, an",1969 -,Helmut Lotti,Belgia,1969 -,Winston Bogarde,Dutc,1970 -
Kornél Dávid,Hungarian basketbal,1971 -,Budoy Marabiles,Filipino singer-songwriter (Junio,1971 -,José Manuel Martínez,Spanis,1971 -
Saffron Burrows,Englis,1972 -,Arthur Agee,American high school basketball player; documentary Hoop Dreams is based of,1972 -,Andrés Palop,Spanish footballer an,1973 -
Mark van der Zijden,Dutc,1973 -,Tim Kinsella,"American singer-songwriter (Cap'n Jazz, Joan of Arc, Owls, Make Believe, an",1974 -,Jeff McInnis,American basketbal,1974 -
Martín Cardetti,Argentinian footballer an,1975 -,Jesse Tyler Ferguson,American actor an,1975 -,Míchel Salgado,Spanis,1975 -
Jon Foreman,American singer-songwriter and guitarist (Switchfoot and Fictio,1976 -,Laidback Luke,Filipino-Dutch DJ an,1976 -,Helen Svedin,Swedis,1976 -
Chaswe Nsofwa,Zambian footballer,29,Owais Shah,Pakistani-Englis,1978 -,Doni,Brazilia,1979 -
Şahan Gökbakar,"Turkish actor, producer, an",1980 -,Luke O'Donnell,Australian rugb,1980 -,Michael Fishman,American actor an,1981 -
Robinson Canó,Dominican basebal,1982 -,Tim Erfen,Germa,1982 -,Heath Miller,American footbal,1982 -
Plan B,"English rapper, producer, an",1983 -,Anton Müller,Germa,1983 -,Aleks Marić,Australian basketbal,1984 -
Federico Ágreda,"Venezuelan keyboard player, DJ, an",1985 -,Zac Hanson,American singer-songwriter and drumme,1985 -,Manpei Takagi,Japanes,1985 -
Kenji Ebisawa,Japanes,1986 -,Kara Lang,Canadia,1986 -,Ștefan Radu,Romania,1986 -
Tiki Gelana,Ethiopia,1987 -,Donny Montell,Lithuania,1987 -,Sarah Barrow,Englis,1988 -
Aykut Demir,Turkis,1988 -,Marco Restrepo,America,1989 -,Jonathan Lipnicki,America,1990 -
Sofia Vassilieva,America,1992 -,Saidy Janko,Swis,1995 -,B.I,South Korean singer-songwriter and dance,1996 -
Charlotte of Valois,,8,Hedwig Eleonora of Holstein-Gottorp,,81,Johann Bernhard Staudt,Austrian composer,58
Maximilian Ulysses Browne,Austrian field marshal,52,Pieter Burman the Younger,"Dutch philologist, poet, and educator",65,Peter II of Russia,,15
Samuel Morey,American engineer,81,Emmanuel de Grouchy,"Marquis de Grouchy, French general",81,Chauncey Allen Goodrich,"American minister, lexicographer, and educator",70
Albert Lortzing,German singer-songwriter and actor,50,John Russell Bartlett,American linguist and historian,81,Ludwig Leichhardt,German-Australian explorer,35
Pierre Larousse,French lexicographer and author,58,Adlai Stevenson I,"American lawyer and politician, 23rd Vice President of the United States",79,Robert Bridges,English poet and playwright,86
Neltje Blanchan,American historian and author,53,John Heisman,American football player and coach,67,Francis Kelley,Canadian-American bishop,78
Charles Kilpatrick,American runner and educator,47,Gilbert N. Lewis,American chemist and academic,71,Franz Schlegelberger,"German judge and politician, Reich Ministry of Justice",94
Lawren Harris,Canadian painter and educator,85,Onésime Gagnon,"Canadian scholar and politician, 20th Lieutenant Governor of Quebec",73,Jean Acker,American actress,85
Rube Bressler,American baseball player,72,Emma Vyssotsky,American astronomer and academic,81,André Lévêque,French soldier and engineer,34
John Baker,English air marshal,81,Marjorie Flack,American author and illustrator,61,Douglas Jardine,Indian-English cricketer and lawyer,58
Harvey Penick,American golfer and coach,91,Felix Bloch,"Swiss physicist and academic, Nobel Prize laureate",78,Yen Chia-kan,"Chinese lawyer and politician, President of the Republic of China",88
František Douda,Czech shot putter,82,Ilya Frank,"Russian physicist and academic, Nobel Prize laureate",82,Zellig Harris,American linguist and methodologist,83
Hayden Rorke,American actor,77,Jack Keller,American hurdler,67,Augusta Dabney,American actress,90
Peggy Moran,American actress and singer,84,Paul Rudolph,"American architect and academic, designed the Lippo Centre",79,Manolis Andronikos,Greek archaeologist and academic,73
Bob Montana,American illustrator,55,Vern Stephens,American baseball player,48,Jean Barker,"Baroness Trumpington, Englis",1922 -
Chris Alcaide,American actor,82,Aslam Farrukhi,"Indian-Pakistani linguist, author, an",1923 -,Ned Rorem,American composer an,1923 -
Arthur Brittenden,English journalist,91,Johnny Carson,American comedian and talk show host,80,Manos Hatzidakis,Greek composer and theorist,69
Sonny Criss,American saxophonist and composer,50,Dezső Gyarmati,Hungarian water polo player and coach,86,Leszek Kołakowski,Polish-English historian and philosopher,82
Eiji Maruyama,Japanese voice actor,85,Jim Bunning,American baseball player an,1931 -,William P. Clark,"Jr., American judge and politician, 12th United States National Security Advisor",82
Vasily Belov,"Russian novelist, poet and playwright",80,Carol Fran,American singer-songwriter an,1933 -,Chi-Chi Rodríguez,Puerto Rican-America,1935 -
Philip Kaufman,"American director, producer, an",1936 -,Carlos Lamarca,Brazilian captain,34,Deven Verma,"Indian actor, director, and producer",77
Stanley Anderson,America,1939 -,C. V. Vigneswaran,"Sri Lankan lawyer, judge, and politician, 1st Chief Minister of the Norther",1939 -,Pelé,Brazilian footballer an,1940 -
Jane Holzer,"American model, actress, producer, and ar",1940 -,Igor Smirnov,"Moldovan engineer and politician, 1st President o",1941 -,Michael Crichton,"American director, producer, and screenwriter",66
Bernd Erdmann,German footballer an,1942 -,Anita Roddick,"English businesswoman and activist, founded The Body Shop",65,Alida Chelli,Italian actress and singer,69
Maggi Hambling,English sculptor an,1945 -,Kim Larsen,Danish singer-songwriter and guitaris,1945 -,Graeme Barker,English archaeologist an,1946 -
Miklós Németh,Hungarian javeli,1946 -,Kazimierz Deyna,Polish footballer,42,Hermann Hauser,"Austrian-English businessman, co-founded Acorn Computers and Olivetti Researc",1948 -
Brian Ross,America,1948 -,Würzel,English singer and guitarist (Motörhead),62,Nick Tosches,"American journalist, author, an",1949 -
Charly García,"Argentine singer-songwriter and keyboard player (Sui Generis, Serú Girán, and La Máquina de Hace",1951 -,Fatmir Sejdiu,"Kosovan academic and politician, 2nd President o",1951 -,Pierre Moerlen,French drummer (Gong),53
Taner Akçam,Turkish sociologist an,1953 -,Ang Lee,"Taiwanese-American director, producer, an",1954 -,Akie Asaka,Japanese comedian an,1956 -
Dwight Yoakam,"American singer-songwriter, guitarist, an",1956 -,Paul Kagame,"Rwandan soldier and politician, 6th President o",1957 -,Martin Luther King III,America,1957 -
Rose Nabinger,Germa,1958 -,Hiroyuki Kinoshita,Japanes,1958 -,Frank Schaffer,Germa,1958 -
Sam Raimi,"American actor, director, producer, an",1959 -,"""Weird Al"" Yankovic","American singer-songwriter, comedian, an",1959 -,Mirwais Ahmadzaï,"Swiss-French keyboard player, songwriter, and producer (Taxi Girl an",1960 -
Randy Pausch,American author and academic,48,Wayne Rainey,American motorcycl,1960 -,Laurie Halse Anderson,America,1961 -
Doug Flutie,"American football player, sportscaster, an",1962 -,Gordon Korman,Canadian-America,1963 -,Robert Trujillo,"American bass player and songwriter (Metallica, Black Label Society, Suicidal Tendencies, and Infectiou",1964 -
Al Leiter,American baseball player an,1965 -,Alex Zanardi,Italian race car driver an,1966 -,Dale Crover,"American singer-songwriter, drummer, and producer (Melvins, Men of Porn, an",1967 -
Jaime Yzaga,Peruvian tenni,1967 -,Dolly Buster,"Czech film producer and director, actress an",1969 -,Trudi Canavan,Australian author an,1969 -
Brooke Theiss,America,1969 -,Matthew Barzun,"American diplomat, United States Ambassador to the Unite",1970 -,Grant Imahara,America,1970 -
Zoe Wiseman,American model an,1970 -,Carlo Forlivesi,Italian-Japanese composer an,1971 -,Chris Horner,America,1971 -
